# Spice subsumption cohort manifest
# recorded_at=2026-07-16
# suite_tests=2249
# analyzed_test_contexts=1421
# production_files=159
# suite_without_analyzed_context=828
# findings=316
# cohorts=239
status	cohort_id	relation	candidate_count	representative
deferred	strict-subset-8503b6fa0c13	strict-subset	31	tests/test_taskdocfuzz.py::test_seeded_fuzz_documents_stay_deterministic_acyclic_and_round_trip
adjudicated	strict-subset-6b1cb7dcac79	strict-subset	5	tests/test_sessionbriefinginvariants.py::test_supervised_fixture_outputs_exclude_skill_mantra_text
deferred	strict-subset-5aedd4be1721	strict-subset	4	tests/test_hermeticity.py::test_agent_runtime_env_uses_installed_tool_without_worktree_import_path
deferred	strict-subset-889ef6eb1da8	strict-subset	4	tests/test_lifecycle.py::test_ensure_agent_uses_shipped_codex_defaults_without_config
deferred	strict-subset-cd72075f59b2	strict-subset	3	tests/test_acktasks.py::test_supervised_marker_examples_do_not_emit_feedback_or_tasks
deferred	strict-subset-7f1703c9468b	strict-subset	3	tests/test_hooks.py::test_file_shape_guard_excludes_generated_lockfiles_but_keeps_source_pressure
deferred	strict-subset-b7b2d748085d	strict-subset	3	tests/test_servemessages.py::test_append_only_read_reports_cross_boundary_image_pair_removal
deferred	equal-feature-f462a1c5cf6e	equal-feature	2	tests/test_maxims.py::test_builtin_maxim_bags_default_to_all_driver_scopes
deferred	strict-subset-4c43619d0343	strict-subset	2	tests/test_acktasks.py::test_supervised_ack_creates_inline_task_and_archives_inbox
deferred	strict-subset-02816fbb61da	strict-subset	2	tests/test_agentcli.py::test_post_tool_hook_response_renders_pending_steering
deferred	strict-subset-e6e57135f9d7	strict-subset	2	tests/test_command.py::test_side_channel_watch_streams_later_inbox_to_stderr
deferred	strict-subset-25fd3acaa933	strict-subset	2	tests/test_extensionintegration.py::test_declared_extension_fixture_wheel_runs_driver_study_and_wrapper
deferred	strict-subset-865cf7448315	strict-subset	2	tests/test_hooks.py::test_mounted_pre_commit_step_carries_mount_env_but_raw_does_not
deferred	strict-subset-ed42be57fcc2	strict-subset	2	tests/test_lanepayload.py::test_ack_noop_feedback_updates_presence_preview
